"Year","LGA","Garbage_share_of_waste"
"2004","Wellington",63.96
"2005","Wellington",63.86
"2006","Wellington",64.81
"2007","Wellington",65.15
"2008","Wellington",63.46
"2009","Wellington",63.81
"2010","Wellington",59.29
"2011","Wellington",60.53
"2012","Wellington",63.89
"2013","Wellington",58.29
"2014","Wellington",52.56
"2015","Wellington",60.61
"2016","Wellington",59.94
"2017","Wellington",57.77
"2018","Wellington",66.45
"2019","Wellington",66.3
"2002","West Wimmera",93.25
"2003","West Wimmera",83.81
"2004","West Wimmera",85.61
"2005","West Wimmera",94.38
"2006","West Wimmera",71.76
"2007","West Wimmera",79.59
"2008","West Wimmera",76.21
"2009","West Wimmera",68.46
"2010","West Wimmera",66.4
"2011","West Wimmera",68.61
"2012","West Wimmera",75.49
"2013","West Wimmera",86.05
"2014","West Wimmera",84.11
"2015","West Wimmera",81.1
"2016","West Wimmera",81.86
"2017","West Wimmera",81.7
"2018","West Wimmera",81.17
"2019","West Wimmera",81.3
"2002","Whitehorse",68.21
"2003","Whitehorse",65.3
"2004","Whitehorse",67.55
"2005","Whitehorse",64.82
"2006","Whitehorse",61.17
"2007","Whitehorse",57.04
"2008","Whitehorse",52.69
"2009","Whitehorse",52.78
"2010","Whitehorse",52.68
"2011","Whitehorse",51.51
"2012","Whitehorse",48.39
"2013","Whitehorse",51.36
"2014","Whitehorse",48.17
"2015","Whitehorse",48.5
"2016","Whitehorse",49.88
"2017","Whitehorse",48.1
"2018","Whitehorse",49.7
"2019","Whitehorse",49.54
"2002","Whittlesea",72.93
"2003","Whittlesea",66.82
"2004","Whittlesea",66.03
"2005","Whittlesea",65.29
"2006","Whittlesea",63
"2007","Whittlesea",66.85
"2008","Whittlesea",64.64
"2009","Whittlesea",59.04
"2010","Whittlesea",57.99
"2011","Whittlesea",55.48
"2012","Whittlesea",54.71
"2013","Whittlesea",56.06
"2014","Whittlesea",54.75
"2015","Whittlesea",57.91
"2016","Whittlesea",55.49
"2017","Whittlesea",53.99
"2018","Whittlesea",63.14
"2019","Whittlesea",66.75
"2002","Wodonga",63.01
"2003","Wodonga",76.87
"2004","Wodonga",59.2
"2005","Wodonga",61.92
"2006","Wodonga",61.26
"2007","Wodonga",66.07
"2008","Wodonga",62.41
"2009","Wodonga",60.96
"2010","Wodonga",54.77
"2011","Wodonga",57.67
"2012","Wodonga",55.49
"2013","Wodonga",54.88
"2014","Wodonga",54.74
"2015","Wodonga",54.92
"2016","Wodonga",28.37
"2017","Wodonga",27.57
"2018","Wodonga",29.75
"2019","Wodonga",32.53
"2002","Wyndham",79.03
"2003","Wyndham",73.58
"2004","Wyndham",69.32
"2005","Wyndham",65.5
"2006","Wyndham",61.96
"2007","Wyndham",61.45
"2008","Wyndham",60.31
"2009","Wyndham",61.01
"2010","Wyndham",63.67
"2011","Wyndham",59.53
"2012","Wyndham",62.86
"2013","Wyndham",62.42
"2014","Wyndham",62.51
"2015","Wyndham",63.13
"2016","Wyndham",63.5
"2017","Wyndham",60.68
"2018","Wyndham",64.29
"2019","Wyndham",65.08
"2002","Yarra",65.25
"2003","Yarra",64.41
"2004","Yarra",64.33
"2005","Yarra",59.78
"2006","Yarra",58.21
"2007","Yarra",56.93
"2008","Yarra",56.27
"2009","Yarra",56.84
"2010","Yarra",56.55
"2011","Yarra",57.97
"2012","Yarra",59.69
"2013","Yarra",60.79
"2014","Yarra",61.57
"2015","Yarra",61.91
"2016","Yarra",61.98
"2017","Yarra",61.55
"2018","Yarra",61.59
"2019","Yarra",62.63
"2002","Yarra Ranges",71.96
"2003","Yarra Ranges",66.52
"2004","Yarra Ranges",68.18
"2005","Yarra Ranges",63.75
"2006","Yarra Ranges",58.87
"2007","Yarra Ranges",58.72
"2008","Yarra Ranges",57.62
"2009","Yarra Ranges",55.16
"2010","Yarra Ranges",53.3
"2011","Yarra Ranges",53.41
"2012","Yarra Ranges",51.47
"2013","Yarra Ranges",53.22
"2014","Yarra Ranges",53.14
"2015","Yarra Ranges",52.92
"2016","Yarra Ranges",52.52
"2017","Yarra Ranges",51.51
"2018","Yarra Ranges",51.57
"2019","Yarra Ranges",50.85
"2002","Yarriambiack",100
"2003","Yarriambiack",100
"2004","Yarriambiack",100
"2005","Yarriambiack",100
"2006","Yarriambiack",100
"2007","Yarriambiack",82.89
"2008","Yarriambiack",76.71
"2009","Yarriambiack",74.53
"2010","Yarriambiack",74.72
"2011","Yarriambiack",73.8
"2012","Yarriambiack",74.19
"2013","Yarriambiack",75.97
"2014","Yarriambiack",74.75
"2015","Yarriambiack",75.67
"2016","Yarriambiack",74.82
"2017","Yarriambiack",76.56
"2018","Yarriambiack",74.69
"2019","Yarriambiack",75.29
